sample_id,eligible_wordpiece,eligible_bpe,eligible_unigram,eligible_all_three
0ee454e997194378,1,1,1,1
466f1b315d838c5b,0,0,1,0
700f439a55625cb1,1,1,1,1
8c7fca91325b7457,1,1,1,1
9950e506c3f939ae,1,1,1,1
c33d7b2d87e78295,1,1,1,1
f23241f21fd3d767,1,1,1,1
57bea1d837f085fa,1,1,1,1
6c0b6e54d0b2ca24,1,1,1,1
2498c779f14dfae8,1,1,1,1
f05c0f10fc8254c4,1,1,1,1
74bd6565c5c55524,1,1,1,1
6dd872eccac27249,0,0,1,0
12a1805ef86d1267,0,0,1,0
3d4eaf72f069f950,1,1,1,1
ec1add9e6b0eaf66,1,1,1,1
54b4fce9d69cbc01,1,1,1,1
fcd693485b8fdc93,1,1,1,1
9bb20c51c9fec236,0,1,1,0
3672e2b246e21e9e,0,0,1,0
c841d0130a810bcf,0,1,1,0
4345f2853c01a9b3,1,1,1,1
63c08db42abdf932,1,1,1,1
26b6bcf817f72e67,0,1,1,0
a731e83d98517e85,1,1,1,1
81371cf069856f3f,1,1,1,1
c5c46a35be2fe2ce,0,1,1,0
c076a2bae78705d6,0,0,1,0
fc499c53411d0a73,0,0,0,0
326f2b7604034d4d,1,1,1,1
2c2a14cd62bacacc,1,1,1,1
80b069b2c1e9e769,1,1,1,1
68e015df4fee2c0f,0,0,1,0
75ff3995be349c87,1,1,1,1
b7dda642e091bcd9,0,1,1,0
36caa818e690ac4e,1,1,1,1
4d1ba7b5c96b4efa,1,1,1,1
7df8284e34add49d,0,1,1,0
ccf05c5d4b791836,1,1,1,1
a8e2d931c229a82e,0,1,1,0
b76e9f17979d1f14,1,1,1,1
68efd5aee7c08d37,1,1,1,1
fccec1cc437cc048,0,0,0,0
a980f867331cb168,1,1,1,1
cbff6e8b7caa4802,1,1,1,1
f7fc7a81568b1810,1,1,1,1
8dcba239cedd67a9,0,1,1,0
e87218d38eb16700,1,1,1,1
2a06326ec6fd4e81,1,1,1,1
60521326e2bbd0ad,1,1,1,1
96908d36362e5cb5,1,1,1,1
8b62bc63e1672ded,0,1,1,0
5dce09f62ebd7073,1,1,1,1
60f9782eba6706d0,1,1,1,1
04f1b45c0380f70e,1,1,1,1
59fdce250515aa19,0,0,1,0
d991b662947ca605,1,1,1,1
8cc968809c0baade,1,1,1,1
c1e23ce6af66fa0e,1,1,1,1
47f06447da579cb8,1,1,1,1
b6dc4a0b62136ef6,1,1,1,1
b1f95cad3edd873a,0,1,1,0
ce26cedc315e5d96,0,1,1,0
1cce601c140db849,1,1,1,1
b6b75f020ab87583,0,1,1,0
be892c85f8e1ded6,0,1,1,0
84ef69dc49e6eb19,1,1,1,1
ffb47123b2d82762,1,1,1,1
a51eb0d7a06db3ed,1,1,1,1
998c08d8f12e6736,1,1,1,1
c0b303687cdd049d,0,1,1,0
6bf645aa1b5eec39,1,1,1,1
1c00347f901ac781,1,1,1,1
355b374310e340a7,0,1,1,0
091b4fb4d0ff78bb,0,1,1,0
579a22a2a56d0b65,1,1,1,1
ed75734705c3093b,1,1,1,1
01fd0de4ca85352f,0,1,1,0
6c491480caeae015,1,1,1,1
