sample_id,attack,original_text,attacked_text,modified_words,inserted_characters,clean_label,clean_confidence,attacked_label,attacked_confidence,clean_toxic_prob,attacked_toxic_prob,clean_tokens,attacked_tokens,clean_token_count,attacked_token_count,clean_ids,attacked_ids,token_edit_distance,characters_per_token,attack_success,search_latency_ms,family,budget,n_perturbations,positions,codepoints
0ee454e997194378,unicode_homoglyph,"How dare you send me such abuse you fucking cockmaster!
If you dare warn me again, Mr Jeff. I will savagely attack your mother!

I know where you live","How dare yοu send me ѕucһ abuse you fuсking coсkmaster!
If you dare warn me again, Mr Jeff. I will savagely attack your mother!

I know where you live",[],"[""\u0441"", ""\u0441"", ""\u04bb"", ""\u0455"", ""\u03bf""]",1,0.9517353773117064,0,0.9586181491613388,0.9517353773117064,0.041381850838661194,"[""how"", ""dare"", ""you"", ""send"", ""me"", ""such"", ""abuse"", ""you"", ""fucking"", ""cock"", ""##master"", ""!"", ""if"", ""you"", ""dare"", ""warn"", ""me"", ""again"", "","", ""mr"", ""jeff"", ""."", ""i"", ""will"", ""savage"", ""##ly"", ""attack"", ""your"", ""mother"", ""!"", ""i"", ""know"", ""where"", ""you"", ""live""]","[""how"", ""dare"", ""y"", ""##\u03bf"", ""##u"", ""send"", ""me"", ""[UNK]"", ""abuse"", ""you"", ""fu"", ""##\u0441"", ""##king"", ""co"", ""##\u0441"", ""##km"", ""##aster"", ""!"", ""if"", ""you"", ""dare"", ""warn"", ""me"", ""again"", "","", ""mr"", ""jeff"", ""."", ""i"", ""will"", ""savage"", ""##ly"", ""attack"", ""your"", ""mother"", ""!"", ""i"", ""know"", ""where"", ""you"", ""live""]",35,41,"[2129, 8108, 2017, 4604, 2033, 2107, 6905, 2017, 8239, 10338, 8706, 999, 2065, 2017, 8108, 11582, 2033, 2153, 1010, 2720, 5076, 1012, 1045, 2097, 9576, 2135, 2886, 2115, 2388, 999, 1045, 2113, 2073, 2017, 2444]","[2129, 8108, 1061, 29730, 2226, 4604, 2033, 100, 6905, 2017, 11865, 29747, 6834, 2522, 29747, 22287, 24268, 999, 2065, 2017, 8108, 11582, 2033, 2153, 1010, 2720, 5076, 1012, 1045, 2097, 9576, 2135, 2886, 2115, 2388, 999, 1045, 2113, 2073, 2017, 2444]",11,3.658536585365854,1,1143.3350999996037,homoglyph,5,5,"[10, 21, 24, 38, 46]","[""U+0441"", ""U+0441"", ""U+04BB"", ""U+0455"", ""U+03BF""]"
700f439a55625cb1,unicode_homoglyph,"Hey Know it all Jerk! 

Just because you can edit other pages doesn't mean you should just to tell people what you like. I do not give a FLAMING FUCK IF YOU LIKE CHEESE NIPS SO STOP POSTING !!!","Hey Know it all Jеrk! 

Just because you can edit othеr pages doesn't mean you should just to tell people what you like. I do not give a FLAΜING FUСK IF YOU LIKE CHEESE NIPS SΟ STOP POSTING !!!",[],"[""\u039f"", ""\u0421"", ""\u039c"", ""\u0435"", ""\u0435""]",1,0.9518797397613524,0,0.9568734839558601,0.9518797397613524,0.04312651604413986,"[""hey"", ""know"", ""it"", ""all"", ""jerk"", ""!"", ""just"", ""because"", ""you"", ""can"", ""edit"", ""other"", ""pages"", ""doesn"", ""'"", ""t"", ""mean"", ""you"", ""should"", ""just"", ""to"", ""tell"", ""people"", ""what"", ""you"", ""like"", ""."", ""i"", ""do"", ""not"", ""give"", ""a"", ""flaming"", ""fuck"", ""if"", ""you"", ""like"", ""cheese"", ""ni"", ""##ps"", ""so"", ""stop"", ""posting"", ""!"", ""!"", ""!""]","[""hey"", ""know"", ""it"", ""all"", ""j"", ""##\u0435"", ""##rk"", ""!"", ""just"", ""because"", ""you"", ""can"", ""edit"", ""ot"", ""##h"", ""##\u0435"", ""##r"", ""pages"", ""doesn"", ""'"", ""t"", ""mean"", ""you"", ""should"", ""just"", ""to"", ""tell"", ""people"", ""what"", ""you"", ""like"", ""."", ""i"", ""do"", ""not"", ""give"", ""a"", ""fl"", ""##a"", ""##\u03bc"", ""##ing"", ""fu"", ""##\u0441"", ""##k"", ""if"", ""you"", ""like"", ""cheese"", ""ni"", ""##ps"", ""s"", ""##\u03bf"", ""stop"", ""posting"", ""!"", ""!"", ""!""]",46,57,"[4931, 2113, 2009, 2035, 12181, 999, 2074, 2138, 2017, 2064, 10086, 2060, 5530, 2987, 1005, 1056, 2812, 2017, 2323, 2074, 2000, 2425, 2111, 2054, 2017, 2066, 1012, 1045, 2079, 2025, 2507, 1037, 19091, 6616, 2065, 2017, 2066, 8808, 9152, 4523, 2061, 2644, 14739, 999, 999, 999]","[4931, 2113, 2009, 2035, 1046, 15290, 8024, 999, 2074, 2138, 2017, 2064, 10086, 27178, 2232, 15290, 2099, 5530, 2987, 1005, 1056, 2812, 2017, 2323, 2074, 2000, 2425, 2111, 2054, 2017, 2066, 1012, 1045, 2079, 2025, 2507, 1037, 13109, 2050, 29728, 2075, 11865, 29747, 2243, 2065, 2017, 2066, 8808, 9152, 4523, 1055, 29730, 2644, 14739, 999, 999, 999]",16,3.3859649122807016,1,1324.219500000254,homoglyph,5,5,"[17, 53, 140, 147, 175]","[""U+039F"", ""U+0421"", ""U+039C"", ""U+0435"", ""U+0435""]"
8c7fca91325b7457,unicode_homoglyph,"My name is Mark Pellegrini and I am a fat fuck who appointed myself to serve as head of the arbitration committee for year after year, because I'm a power-hungry dumbass. Please contact Guang Gao and inform him that I am a pedophile  I have blocked the entire uni subnet to prevent Lir from vandalizing my page, but it looks like Lir isn't the one vandalizing me! God, I'm so fucking stupid  I wish I could stop the vandals, but all I can do is wage an endless War on Vandalism... and im losing! What? A DOUGHTNUT! GIMME!!!!!!!!!!!!","My name is Mark Pеllegrіni and I am a fat fuck who appointed myself to serve as head of the arbitration committee for year after year, because I'm a power-hungry dumbaѕs. Please contact Guang Gao and inform him that I am a pedophile  I have blocked the entire uni subnet to prevent Lir from vandalizing my page, but it looks like Lir isn't the one vandalizing me! God, I'm so fuсking ѕtupid  I wish I could stop the vandals, but all I can do is wage an endless War on Vandalism... and im losing! What? A DOUGHTNUT! GIMME!!!!!!!!!!!!",[],"[""\u0455"", ""\u0441"", ""\u0455"", ""\u0456"", ""\u0435""]",1,0.9355583190917968,1,0.8364961743354797,0.9355583190917968,0.8364961743354797,"[""my"", ""name"", ""is"", ""mark"", ""pe"", ""##lle"", ""##grin"", ""##i"", ""and"", ""i"", ""am"", ""a"", ""fat"", ""fuck"", ""who"", ""appointed"", ""myself"", ""to"", ""serve"", ""as"", ""head"", ""of"", ""the"", ""arbitration"", ""committee"", ""for"", ""year"", ""after"", ""year"", "","", ""because"", ""i"", ""'"", ""m"", ""a"", ""power"", ""-"", ""hungry"", ""dumb"", ""##ass"", ""."", ""please"", ""contact"", ""gu"", ""##ang"", ""gao"", ""and"", ""inform"", ""him"", ""that"", ""i"", ""am"", ""a"", ""pe"", ""##do"", ""##phile"", ""i"", ""have"", ""blocked"", ""the"", ""entire"", ""un"", ""##i"", ""sub"", ""##net"", ""to"", ""prevent"", ""li"", ""##r"", ""from"", ""van"", ""##dal"", ""##izing"", ""my"", ""page"", "","", ""but"", ""it"", ""looks"", ""like"", ""li"", ""##r"", ""isn"", ""'"", ""t"", ""the"", ""one"", ""van"", ""##dal"", ""##izing"", ""me"", ""!"", ""god"", "","", ""i"", ""'"", ""m"", ""so"", ""fucking"", ""stupid"", ""i"", ""wish"", ""i"", ""could"", ""stop"", ""the"", ""van"", ""##dal"", ""##s"", "","", ""but"", ""all"", ""i"", ""can"", ""do"", ""is"", ""wage"", ""an"", ""endless"", ""war"", ""on"", ""van"", ""##dal"", ""##ism"", ""."", ""."", ""."", ""and"", ""im"", ""losing"", ""!"", ""what"", ""?"", ""a"", ""dough"", ""##t"", ""##nut"", ""!"", ""gi"", ""##mme"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!""]","[""my"", ""name"", ""is"", ""mark"", ""p"", ""##\u0435"", ""##lle"", ""##gr"", ""##\u0456"", ""##ni"", ""and"", ""i"", ""am"", ""a"", ""fat"", ""fuck"", ""who"", ""appointed"", ""myself"", ""to"", ""serve"", ""as"", ""head"", ""of"", ""the"", ""arbitration"", ""committee"", ""for"", ""year"", ""after"", ""year"", "","", ""because"", ""i"", ""'"", ""m"", ""a"", ""power"", ""-"", ""hungry"", ""[UNK]"", ""."", ""please"", ""contact"", ""gu"", ""##ang"", ""gao"", ""and"", ""inform"", ""him"", ""that"", ""i"", ""am"", ""a"", ""pe"", ""##do"", ""##phile"", ""i"", ""have"", ""blocked"", ""the"", ""entire"", ""un"", ""##i"", ""sub"", ""##net"", ""to"", ""prevent"", ""li"", ""##r"", ""from"", ""van"", ""##dal"", ""##izing"", ""my"", ""page"", "","", ""but"", ""it"", ""looks"", ""like"", ""li"", ""##r"", ""isn"", ""'"", ""t"", ""the"", ""one"", ""van"", ""##dal"", ""##izing"", ""me"", ""!"", ""god"", "","", ""i"", ""'"", ""m"", ""so"", ""fu"", ""##\u0441"", ""##king"", ""[UNK]"", ""i"", ""wish"", ""i"", ""could"", ""stop"", ""the"", ""van"", ""##dal"", ""##s"", "","", ""but"", ""all"", ""i"", ""can"", ""do"", ""is"", ""wage"", ""an"", ""endless"", ""war"", ""on"", ""van"", ""##dal"", ""##ism"", ""."", ""."", ""."", ""and"", ""im"", ""losing"", ""!"", ""what"", ""?"", ""a"", ""dough"", ""##t"", ""##nut"", ""!"", ""gi"", ""##mme"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!""]",152,155,"[2026, 2171, 2003, 2928, 21877, 6216, 24860, 2072, 1998, 1045, 2572, 1037, 6638, 6616, 2040, 2805, 2870, 2000, 3710, 2004, 2132, 1997, 1996, 18010, 2837, 2005, 2095, 2044, 2095, 1010, 2138, 1045, 1005, 1049, 1037, 2373, 1011, 7501, 12873, 12054, 1012, 3531, 3967, 19739, 5654, 17377, 1998, 12367, 2032, 2008, 1045, 2572, 1037, 21877, 3527, 24862, 1045, 2031, 8534, 1996, 2972, 4895, 2072, 4942, 7159, 2000, 4652, 5622, 2099, 2013, 3158, 9305, 6026, 2026, 3931, 1010, 2021, 2009, 3504, 2066, 5622, 2099, 3475, 1005, 1056, 1996, 2028, 3158, 9305, 6026, 2033, 999, 2643, 1010, 1045, 1005, 1049, 2061, 8239, 5236, 1045, 4299, 1045, 2071, 2644, 1996, 3158, 9305, 2015, 1010, 2021, 2035, 1045, 2064, 2079, 2003, 11897, 2019, 10866, 2162, 2006, 3158, 9305, 2964, 1012, 1012, 1012, 1998, 10047, 3974, 999, 2054, 1029, 1037, 23126, 2102, 24072, 999, 21025, 20058, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999]","[2026, 2171, 2003, 2928, 1052, 15290, 6216, 16523, 29760, 3490, 1998, 1045, 2572, 1037, 6638, 6616, 2040, 2805, 2870, 2000, 3710, 2004, 2132, 1997, 1996, 18010, 2837, 2005, 2095, 2044, 2095, 1010, 2138, 1045, 1005, 1049, 1037, 2373, 1011, 7501, 100, 1012, 3531, 3967, 19739, 5654, 17377, 1998, 12367, 2032, 2008, 1045, 2572, 1037, 21877, 3527, 24862, 1045, 2031, 8534, 1996, 2972, 4895, 2072, 4942, 7159, 2000, 4652, 5622, 2099, 2013, 3158, 9305, 6026, 2026, 3931, 1010, 2021, 2009, 3504, 2066, 5622, 2099, 3475, 1005, 1056, 1996, 2028, 3158, 9305, 6026, 2033, 999, 2643, 1010, 1045, 1005, 1049, 2061, 11865, 29747, 6834, 100, 1045, 4299, 1045, 2071, 2644, 1996, 3158, 9305, 2015, 1010, 2021, 2035, 1045, 2064, 2079, 2003, 11897, 2019, 10866, 2162, 2006, 3158, 9305, 2964, 1012, 1012, 1012, 1998, 10047, 3974, 999, 2054, 1029, 1037, 23126, 2102, 24072, 999, 21025, 20058, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999]",11,3.432258064516129,0,3662.3903999989125,homoglyph,5,5,"[17, 23, 167, 378, 384]","[""U+0455"", ""U+0441"", ""U+0455"", ""U+0456"", ""U+0435""]"
9950e506c3f939ae,unicode_homoglyph,"Awesome ). Even though you were actually idiotic enough to block me for the wrong thing, I haven't commited vandalism EVER, you liar, I was verbally abusive towards another editor, which despite his irrationality, vandalism, lieing and accusations of bad faith, was indeed inexcusable, but at least get it right fool. I know being an administrator doesn't really require any actual insight or honesty, but when you link to the correct action, you could at least portray enough mental capacity to not link to a page that doesn't describe my action (abuse) as something I have never done (vandalism). I'd also like to say, ha, I can't believe it took me saying I'd be blocked for my comment to be blocked, you're really pathetic. -","Awesome ). Even though you were actually iԁiotic enough to block me for the wrong thing, I haven't commited vandalism EVER, you liar, I was verbally abusive towards another editor, which despite his irrationality, vandalism, lieing and accusations of bad faith, was indeed inexcusable, but at least get it right fool. I know bеing an administrator doesn't really require any actual insight or honesty, but when you link to the correct action, you could at least portray enough mental capacity to not link to a page that doesn't describe my action (abuse) as something I have never dοne (vandalism). I'd also like to say, ha, I can't believe it took me saying I'ԁ be blocked for my comment to be blocked, you're really patһetic. -",[],"[""\u04bb"", ""\u0501"", ""\u03bf"", ""\u0435"", ""\u0501""]",1,0.5732770562171936,0,0.9309621676802635,0.5732770562171936,0.06903783231973648,"[""awesome"", "")"", ""."", ""even"", ""though"", ""you"", ""were"", ""actually"", ""idiot"", ""##ic"", ""enough"", ""to"", ""block"", ""me"", ""for"", ""the"", ""wrong"", ""thing"", "","", ""i"", ""haven"", ""'"", ""t"", ""commit"", ""##ed"", ""van"", ""##dal"", ""##ism"", ""ever"", "","", ""you"", ""liar"", "","", ""i"", ""was"", ""verbal"", ""##ly"", ""abusive"", ""towards"", ""another"", ""editor"", "","", ""which"", ""despite"", ""his"", ""irrational"", ""##ity"", "","", ""van"", ""##dal"", ""##ism"", "","", ""lie"", ""##ing"", ""and"", ""accusations"", ""of"", ""bad"", ""faith"", "","", ""was"", ""indeed"", ""in"", ""##ex"", ""##cus"", ""##able"", "","", ""but"", ""at"", ""least"", ""get"", ""it"", ""right"", ""fool"", ""."", ""i"", ""know"", ""being"", ""an"", ""administrator"", ""doesn"", ""'"", ""t"", ""really"", ""require"", ""any"", ""actual"", ""insight"", ""or"", ""honesty"", "","", ""but"", ""when"", ""you"", ""link"", ""to"", ""the"", ""correct"", ""action"", "","", ""you"", ""could"", ""at"", ""least"", ""portray"", ""enough"", ""mental"", ""capacity"", ""to"", ""not"", ""link"", ""to"", ""a"", ""page"", ""that"", ""doesn"", ""'"", ""t"", ""describe"", ""my"", ""action"", ""("", ""abuse"", "")"", ""as"", ""something"", ""i"", ""have"", ""never"", ""done"", ""("", ""van"", ""##dal"", ""##ism"", "")"", ""."", ""i"", ""'"", ""d"", ""also"", ""like"", ""to"", ""say"", "","", ""ha"", "","", ""i"", ""can"", ""'"", ""t"", ""believe"", ""it"", ""took"", ""me"", ""saying"", ""i"", ""'"", ""d"", ""be"", ""blocked"", ""for"", ""my"", ""comment"", ""to"", ""be"", ""blocked"", "","", ""you"", ""'"", ""re"", ""really"", ""pathetic"", ""."", ""-""]","[""awesome"", "")"", ""."", ""even"", ""though"", ""you"", ""were"", ""actually"", ""[UNK]"", ""enough"", ""to"", ""block"", ""me"", ""for"", ""the"", ""wrong"", ""thing"", "","", ""i"", ""haven"", ""'"", ""t"", ""commit"", ""##ed"", ""van"", ""##dal"", ""##ism"", ""ever"", "","", ""you"", ""liar"", "","", ""i"", ""was"", ""verbal"", ""##ly"", ""abusive"", ""towards"", ""another"", ""editor"", "","", ""which"", ""despite"", ""his"", ""irrational"", ""##ity"", "","", ""van"", ""##dal"", ""##ism"", "","", ""lie"", ""##ing"", ""and"", ""accusations"", ""of"", ""bad"", ""faith"", "","", ""was"", ""indeed"", ""in"", ""##ex"", ""##cus"", ""##able"", "","", ""but"", ""at"", ""least"", ""get"", ""it"", ""right"", ""fool"", ""."", ""i"", ""know"", ""b"", ""##\u0435"", ""##ing"", ""an"", ""administrator"", ""doesn"", ""'"", ""t"", ""really"", ""require"", ""any"", ""actual"", ""insight"", ""or"", ""honesty"", "","", ""but"", ""when"", ""you"", ""link"", ""to"", ""the"", ""correct"", ""action"", "","", ""you"", ""could"", ""at"", ""least"", ""portray"", ""enough"", ""mental"", ""capacity"", ""to"", ""not"", ""link"", ""to"", ""a"", ""page"", ""that"", ""doesn"", ""'"", ""t"", ""describe"", ""my"", ""action"", ""("", ""abuse"", "")"", ""as"", ""something"", ""i"", ""have"", ""never"", ""d"", ""##\u03bf"", ""##ne"", ""("", ""van"", ""##dal"", ""##ism"", "")"", ""."", ""i"", ""'"", ""d"", ""also"", ""like"", ""to"", ""say"", "","", ""ha"", "","", ""i"", ""can"", ""'"", ""t"", ""believe"", ""it"", ""took"", ""me"", ""saying"", ""i"", ""'"", ""[UNK]"", ""be"", ""blocked"", ""for"", ""my"", ""comment"", ""to"", ""be"", ""blocked"", "","", ""you"", ""'"", ""re"", ""really"", ""[UNK]"", ""."", ""-""]",174,177,"[12476, 1007, 1012, 2130, 2295, 2017, 2020, 2941, 10041, 2594, 2438, 2000, 3796, 2033, 2005, 1996, 3308, 2518, 1010, 1045, 4033, 1005, 1056, 10797, 2098, 3158, 9305, 2964, 2412, 1010, 2017, 16374, 1010, 1045, 2001, 12064, 2135, 20676, 2875, 2178, 3559, 1010, 2029, 2750, 2010, 23179, 3012, 1010, 3158, 9305, 2964, 1010, 4682, 2075, 1998, 13519, 1997, 2919, 4752, 1010, 2001, 5262, 1999, 10288, 7874, 3085, 1010, 2021, 2012, 2560, 2131, 2009, 2157, 7966, 1012, 1045, 2113, 2108, 2019, 8911, 2987, 1005, 1056, 2428, 5478, 2151, 5025, 12369, 2030, 16718, 1010, 2021, 2043, 2017, 4957, 2000, 1996, 6149, 2895, 1010, 2017, 2071, 2012, 2560, 17279, 2438, 5177, 3977, 2000, 2025, 4957, 2000, 1037, 3931, 2008, 2987, 1005, 1056, 6235, 2026, 2895, 1006, 6905, 1007, 2004, 2242, 1045, 2031, 2196, 2589, 1006, 3158, 9305, 2964, 1007, 1012, 1045, 1005, 1040, 2036, 2066, 2000, 2360, 1010, 5292, 1010, 1045, 2064, 1005, 1056, 2903, 2009, 2165, 2033, 3038, 1045, 1005, 1040, 2022, 8534, 2005, 2026, 7615, 2000, 2022, 8534, 1010, 2017, 1005, 2128, 2428, 17203, 1012, 1011]","[12476, 1007, 1012, 2130, 2295, 2017, 2020, 2941, 100, 2438, 2000, 3796, 2033, 2005, 1996, 3308, 2518, 1010, 1045, 4033, 1005, 1056, 10797, 2098, 3158, 9305, 2964, 2412, 1010, 2017, 16374, 1010, 1045, 2001, 12064, 2135, 20676, 2875, 2178, 3559, 1010, 2029, 2750, 2010, 23179, 3012, 1010, 3158, 9305, 2964, 1010, 4682, 2075, 1998, 13519, 1997, 2919, 4752, 1010, 2001, 5262, 1999, 10288, 7874, 3085, 1010, 2021, 2012, 2560, 2131, 2009, 2157, 7966, 1012, 1045, 2113, 1038, 15290, 2075, 2019, 8911, 2987, 1005, 1056, 2428, 5478, 2151, 5025, 12369, 2030, 16718, 1010, 2021, 2043, 2017, 4957, 2000, 1996, 6149, 2895, 1010, 2017, 2071, 2012, 2560, 17279, 2438, 5177, 3977, 2000, 2025, 4957, 2000, 1037, 3931, 2008, 2987, 1005, 1056, 6235, 2026, 2895, 1006, 6905, 1007, 2004, 2242, 1045, 2031, 2196, 1040, 29730, 2638, 1006, 3158, 9305, 2964, 1007, 1012, 1045, 1005, 1040, 2036, 2066, 2000, 2360, 1010, 5292, 1010, 1045, 2064, 1005, 1056, 2903, 2009, 2165, 2033, 3038, 1045, 1005, 100, 2022, 8534, 2005, 2026, 7615, 2000, 2022, 8534, 1010, 2017, 1005, 2128, 2428, 100, 1012, 1011]",10,4.11864406779661,1,4080.2306000005046,homoglyph,5,5,"[42, 326, 582, 661, 721]","[""U+04BB"", ""U+0501"", ""U+03BF"", ""U+0435"", ""U+0501""]"
c33d7b2d87e78295,unicode_homoglyph,"Queen Mary 

Mrs Windsor's granny.She was a bitch.","Queen Μary 

Mrѕ Windsor's granny.Ѕhe was a bitcһ.",[],"[""\u04bb"", ""\u0405"", ""\u0455"", ""\u039c""]",1,0.9542316198349,0,0.9989277647109702,0.9542316198349,0.001072235289029777,"[""queen"", ""mary"", ""mrs"", ""windsor"", ""'"", ""s"", ""granny"", ""."", ""she"", ""was"", ""a"", ""bitch"", "".""]","[""queen"", ""\u03bc"", ""##ary"", ""[UNK]"", ""windsor"", ""'"", ""s"", ""granny"", ""."", ""[UNK]"", ""was"", ""a"", ""[UNK]"", "".""]",13,14,"[3035, 2984, 3680, 10064, 1005, 1055, 19794, 1012, 2016, 2001, 1037, 7743, 1012]","[3035, 1166, 5649, 100, 10064, 1005, 1055, 19794, 1012, 100, 2001, 1037, 100, 1012]",5,3.5714285714285716,1,522.79819999967,homoglyph,5,4,"[6, 15, 34, 48]","[""U+04BB"", ""U+0405"", ""U+0455"", ""U+039C""]"
f23241f21fd3d767,unicode_homoglyph,"Too Cool 

Please please please... get a life...should you not continue being a boring bastardtits lawyer and stop spoiling my giggles ps do you live with your mum ??? pps i speak french too, voulais vous F**K YOU! ppps hugs babes","Too Cool 

Pleаse please please... get a life...should you not continue being a boring baѕtardtits lawyer and stoр spoiling my giggles pѕ do you live with your mum ??? pps i speak french too, voulais vous F**Κ YOU! ppps hugs babes",[],"[""\u039a"", ""\u0455"", ""\u0440"", ""\u0455"", ""\u0430""]",1,0.6773828864097595,1,0.5174413323402405,0.6773828864097595,0.5174413323402405,"[""too"", ""cool"", ""please"", ""please"", ""please"", ""."", ""."", ""."", ""get"", ""a"", ""life"", ""."", ""."", ""."", ""should"", ""you"", ""not"", ""continue"", ""being"", ""a"", ""boring"", ""bastard"", ""##ti"", ""##ts"", ""lawyer"", ""and"", ""stop"", ""spoil"", ""##ing"", ""my"", ""giggles"", ""ps"", ""do"", ""you"", ""live"", ""with"", ""your"", ""mum"", ""?"", ""?"", ""?"", ""pp"", ""##s"", ""i"", ""speak"", ""french"", ""too"", "","", ""vo"", ""##ula"", ""##is"", ""vo"", ""##us"", ""f"", ""*"", ""*"", ""k"", ""you"", ""!"", ""pp"", ""##ps"", ""hugs"", ""babe"", ""##s""]","[""too"", ""cool"", ""pl"", ""##e"", ""##\u0430"", ""##se"", ""please"", ""please"", ""."", ""."", ""."", ""get"", ""a"", ""life"", ""."", ""."", ""."", ""should"", ""you"", ""not"", ""continue"", ""being"", ""a"", ""boring"", ""[UNK]"", ""lawyer"", ""and"", ""st"", ""##o"", ""##\u0440"", ""spoil"", ""##ing"", ""my"", ""giggles"", ""[UNK]"", ""do"", ""you"", ""live"", ""with"", ""your"", ""mum"", ""?"", ""?"", ""?"", ""pp"", ""##s"", ""i"", ""speak"", ""french"", ""too"", "","", ""vo"", ""##ula"", ""##is"", ""vo"", ""##us"", ""f"", ""*"", ""*"", ""\u03ba"", ""you"", ""!"", ""pp"", ""##ps"", ""hugs"", ""babe"", ""##s""]",64,67,"[2205, 4658, 3531, 3531, 3531, 1012, 1012, 1012, 2131, 1037, 2166, 1012, 1012, 1012, 2323, 2017, 2025, 3613, 2108, 1037, 11771, 8444, 3775, 3215, 5160, 1998, 2644, 27594, 2075, 2026, 26466, 8827, 2079, 2017, 2444, 2007, 2115, 12954, 1029, 1029, 1029, 4903, 2015, 1045, 3713, 2413, 2205, 1010, 29536, 7068, 2483, 29536, 2271, 1042, 1008, 1008, 1047, 2017, 999, 4903, 4523, 24459, 11561, 2015]","[2205, 4658, 20228, 2063, 10260, 3366, 3531, 3531, 1012, 1012, 1012, 2131, 1037, 2166, 1012, 1012, 1012, 2323, 2017, 2025, 3613, 2108, 1037, 11771, 100, 5160, 1998, 2358, 2080, 16856, 27594, 2075, 2026, 26466, 100, 2079, 2017, 2444, 2007, 2115, 12954, 1029, 1029, 1029, 4903, 2015, 1045, 3713, 2413, 2205, 1010, 29536, 7068, 2483, 29536, 2271, 1042, 1008, 1008, 1164, 2017, 999, 4903, 4523, 24459, 11561, 2015]",12,3.4328358208955225,0,1676.4294000004156,homoglyph,5,5,"[14, 89, 113, 136, 208]","[""U+039A"", ""U+0455"", ""U+0440"", ""U+0455"", ""U+0430""]"
57bea1d837f085fa,unicode_homoglyph,"Hey fucking pig 

Hey fucking pig-of-a-bully; I'll fuck off sure, but after you fuck out from Wikipedia completely you fucking bitch.","Hey fucking pіg 

Hey fucking рig-of-a-bully; I'll fuck off sure, but after yοu fuck out from Wikipedia complеtely you fucking bitcһ.",[],"[""\u04bb"", ""\u0435"", ""\u03bf"", ""\u0440"", ""\u0456""]",1,0.9668331742286682,1,0.9430810809135437,0.9668331742286682,0.9430810809135437,"[""hey"", ""fucking"", ""pig"", ""hey"", ""fucking"", ""pig"", ""-"", ""of"", ""-"", ""a"", ""-"", ""bully"", "";"", ""i"", ""'"", ""ll"", ""fuck"", ""off"", ""sure"", "","", ""but"", ""after"", ""you"", ""fuck"", ""out"", ""from"", ""wikipedia"", ""completely"", ""you"", ""fucking"", ""bitch"", "".""]","[""hey"", ""fucking"", ""p"", ""##\u0456"", ""##g"", ""hey"", ""fucking"", ""\u0440"", ""##ig"", ""-"", ""of"", ""-"", ""a"", ""-"", ""bully"", "";"", ""i"", ""'"", ""ll"", ""fuck"", ""off"", ""sure"", "","", ""but"", ""after"", ""y"", ""##\u03bf"", ""##u"", ""fuck"", ""out"", ""from"", ""wikipedia"", ""com"", ""##pl"", ""##\u0435"", ""##tel"", ""##y"", ""you"", ""fucking"", ""[UNK]"", "".""]",32,41,"[4931, 8239, 10369, 4931, 8239, 10369, 1011, 1997, 1011, 1037, 1011, 20716, 1025, 1045, 1005, 2222, 6616, 2125, 2469, 1010, 2021, 2044, 2017, 6616, 2041, 2013, 16948, 3294, 2017, 8239, 7743, 1012]","[4931, 8239, 1052, 29760, 2290, 4931, 8239, 1195, 8004, 1011, 1997, 1011, 1037, 1011, 20716, 1025, 1045, 1005, 2222, 6616, 2125, 2469, 1010, 2021, 2044, 1061, 29730, 2226, 6616, 2041, 2013, 16948, 4012, 24759, 15290, 9834, 2100, 2017, 8239, 100, 1012]",14,3.2439024390243905,0,1067.7381999994395,homoglyph,5,5,"[13, 30, 77, 109, 131]","[""U+04BB"", ""U+0435"", ""U+03BF"", ""U+0440"", ""U+0456""]"
