sample_id,attack,original_text,attacked_text,modified_words,inserted_characters,clean_label,clean_confidence,attacked_label,attacked_confidence,clean_toxic_prob,attacked_toxic_prob,clean_tokens,attacked_tokens,clean_token_count,attacked_token_count,clean_ids,attacked_ids,token_edit_distance,characters_per_token,attack_success,search_latency_ms,family,budget,n_perturbations,positions,codepoints
0ee454e997194378,unicode_invisible,"How dare you send me such abuse you fucking cockmaster!
If you dare warn me again, Mr Jeff. I will savagely attack your mother!

I know where you live","How dare you s‍end me such abuse you fucking cockmaster!
If you dare warn me again, Mr Jeff. I w‍ill savagely att‌ack‍ your mother!

I know where you l‌ive",[],"[""\u200c"", ""\u200d"", ""\u200c"", ""\u200d"", ""\u200d""]",1,0.9517353773117064,1,0.9517353773117065,0.9517353773117064,0.9517353773117065,"[""how"", ""dare"", ""you"", ""send"", ""me"", ""such"", ""abuse"", ""you"", ""fucking"", ""cock"", ""##master"", ""!"", ""if"", ""you"", ""dare"", ""warn"", ""me"", ""again"", "","", ""mr"", ""jeff"", ""."", ""i"", ""will"", ""savage"", ""##ly"", ""attack"", ""your"", ""mother"", ""!"", ""i"", ""know"", ""where"", ""you"", ""live""]","[""how"", ""dare"", ""you"", ""send"", ""me"", ""such"", ""abuse"", ""you"", ""fucking"", ""cock"", ""##master"", ""!"", ""if"", ""you"", ""dare"", ""warn"", ""me"", ""again"", "","", ""mr"", ""jeff"", ""."", ""i"", ""will"", ""savage"", ""##ly"", ""attack"", ""your"", ""mother"", ""!"", ""i"", ""know"", ""where"", ""you"", ""live""]",35,35,"[2129, 8108, 2017, 4604, 2033, 2107, 6905, 2017, 8239, 10338, 8706, 999, 2065, 2017, 8108, 11582, 2033, 2153, 1010, 2720, 5076, 1012, 1045, 2097, 9576, 2135, 2886, 2115, 2388, 999, 1045, 2113, 2073, 2017, 2444]","[2129, 8108, 2017, 4604, 2033, 2107, 6905, 2017, 8239, 10338, 8706, 999, 2065, 2017, 8108, 11582, 2033, 2153, 1010, 2720, 5076, 1012, 1045, 2097, 9576, 2135, 2886, 2115, 2388, 999, 1045, 2113, 2073, 2017, 2444]",0,4.428571428571429,0,805.8425999988685,invisible,5,5,"[14, 95, 111, 114, 147]","[""U+200C"", ""U+200D"", ""U+200C"", ""U+200D"", ""U+200D""]"
700f439a55625cb1,unicode_invisible,"Hey Know it all Jerk! 

Just because you can edit other pages doesn't mean you should just to tell people what you like. I do not give a FLAMING FUCK IF YOU LIKE CHEESE NIPS SO STOP POSTING !!!","Hey Know it all Jerk! 

Just because you can edit other pages doesn't mean you should just to tell people what ​you like. I‌ do not give a FLAMING FUCK IF YO​U LIKE C‍HEESE NIPS SO S‌TOP POSTING !!!",[],"[""\u200c"", ""\u200d"", ""\u200b"", ""\u200c"", ""\u200b""]",1,0.9518797397613524,1,0.9518797397613525,0.9518797397613524,0.9518797397613525,"[""hey"", ""know"", ""it"", ""all"", ""jerk"", ""!"", ""just"", ""because"", ""you"", ""can"", ""edit"", ""other"", ""pages"", ""doesn"", ""'"", ""t"", ""mean"", ""you"", ""should"", ""just"", ""to"", ""tell"", ""people"", ""what"", ""you"", ""like"", ""."", ""i"", ""do"", ""not"", ""give"", ""a"", ""flaming"", ""fuck"", ""if"", ""you"", ""like"", ""cheese"", ""ni"", ""##ps"", ""so"", ""stop"", ""posting"", ""!"", ""!"", ""!""]","[""hey"", ""know"", ""it"", ""all"", ""jerk"", ""!"", ""just"", ""because"", ""you"", ""can"", ""edit"", ""other"", ""pages"", ""doesn"", ""'"", ""t"", ""mean"", ""you"", ""should"", ""just"", ""to"", ""tell"", ""people"", ""what"", ""you"", ""like"", ""."", ""i"", ""do"", ""not"", ""give"", ""a"", ""flaming"", ""fuck"", ""if"", ""you"", ""like"", ""cheese"", ""ni"", ""##ps"", ""so"", ""stop"", ""posting"", ""!"", ""!"", ""!""]",46,46,"[4931, 2113, 2009, 2035, 12181, 999, 2074, 2138, 2017, 2064, 10086, 2060, 5530, 2987, 1005, 1056, 2812, 2017, 2323, 2074, 2000, 2425, 2111, 2054, 2017, 2066, 1012, 1045, 2079, 2025, 2507, 1037, 19091, 6616, 2065, 2017, 2066, 8808, 9152, 4523, 2061, 2644, 14739, 999, 999, 999]","[4931, 2113, 2009, 2035, 12181, 999, 2074, 2138, 2017, 2064, 10086, 2060, 5530, 2987, 1005, 1056, 2812, 2017, 2323, 2074, 2000, 2425, 2111, 2054, 2017, 2066, 1012, 1045, 2079, 2025, 2507, 1037, 19091, 6616, 2065, 2017, 2066, 8808, 9152, 4523, 2061, 2644, 14739, 999, 999, 999]",0,4.304347826086956,0,210.10419999947771,invisible,5,5,"[111, 122, 155, 163, 178]","[""U+200C"", ""U+200D"", ""U+200B"", ""U+200C"", ""U+200B""]"
8c7fca91325b7457,unicode_invisible,"My name is Mark Pellegrini and I am a fat fuck who appointed myself to serve as head of the arbitration committee for year after year, because I'm a power-hungry dumbass. Please contact Guang Gao and inform him that I am a pedophile  I have blocked the entire uni subnet to prevent Lir from vandalizing my page, but it looks like Lir isn't the one vandalizing me! God, I'm so fucking stupid  I wish I could stop the vandals, but all I can do is wage an endless War on Vandalism... and im losing! What? A DOUGHTNUT! GIMME!!!!!!!!!!!!","My‍ name is Mark Pellegrini and I am a fat fuck who appointed myself to serve as head of the arbitration committee for year after year, because I'm a power-hungry dumbass. Please contact Guang Gao and inform him that I am a pedophile  I have blocked the entire uni subnet to prevent Lir from vandalizing my page, but it looks like ‍Lir isn't​ the one vandalizing me! God, I'm so fucking stupid  I wish I could sto‍p th​e vandals, but all I can do is wage an endless War on Vandalism... and im losing! What? A DOUGHTNUT! GIMME!!!!!!!!!!!!",[],"[""\u200b"", ""\u200d"", ""\u200b"", ""\u200d"", ""\u200d""]",1,0.9355583190917968,1,0.9355584383010864,0.9355583190917968,0.9355584383010864,"[""my"", ""name"", ""is"", ""mark"", ""pe"", ""##lle"", ""##grin"", ""##i"", ""and"", ""i"", ""am"", ""a"", ""fat"", ""fuck"", ""who"", ""appointed"", ""myself"", ""to"", ""serve"", ""as"", ""head"", ""of"", ""the"", ""arbitration"", ""committee"", ""for"", ""year"", ""after"", ""year"", "","", ""because"", ""i"", ""'"", ""m"", ""a"", ""power"", ""-"", ""hungry"", ""dumb"", ""##ass"", ""."", ""please"", ""contact"", ""gu"", ""##ang"", ""gao"", ""and"", ""inform"", ""him"", ""that"", ""i"", ""am"", ""a"", ""pe"", ""##do"", ""##phile"", ""i"", ""have"", ""blocked"", ""the"", ""entire"", ""un"", ""##i"", ""sub"", ""##net"", ""to"", ""prevent"", ""li"", ""##r"", ""from"", ""van"", ""##dal"", ""##izing"", ""my"", ""page"", "","", ""but"", ""it"", ""looks"", ""like"", ""li"", ""##r"", ""isn"", ""'"", ""t"", ""the"", ""one"", ""van"", ""##dal"", ""##izing"", ""me"", ""!"", ""god"", "","", ""i"", ""'"", ""m"", ""so"", ""fucking"", ""stupid"", ""i"", ""wish"", ""i"", ""could"", ""stop"", ""the"", ""van"", ""##dal"", ""##s"", "","", ""but"", ""all"", ""i"", ""can"", ""do"", ""is"", ""wage"", ""an"", ""endless"", ""war"", ""on"", ""van"", ""##dal"", ""##ism"", ""."", ""."", ""."", ""and"", ""im"", ""losing"", ""!"", ""what"", ""?"", ""a"", ""dough"", ""##t"", ""##nut"", ""!"", ""gi"", ""##mme"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!""]","[""my"", ""name"", ""is"", ""mark"", ""pe"", ""##lle"", ""##grin"", ""##i"", ""and"", ""i"", ""am"", ""a"", ""fat"", ""fuck"", ""who"", ""appointed"", ""myself"", ""to"", ""serve"", ""as"", ""head"", ""of"", ""the"", ""arbitration"", ""committee"", ""for"", ""year"", ""after"", ""year"", "","", ""because"", ""i"", ""'"", ""m"", ""a"", ""power"", ""-"", ""hungry"", ""dumb"", ""##ass"", ""."", ""please"", ""contact"", ""gu"", ""##ang"", ""gao"", ""and"", ""inform"", ""him"", ""that"", ""i"", ""am"", ""a"", ""pe"", ""##do"", ""##phile"", ""i"", ""have"", ""blocked"", ""the"", ""entire"", ""un"", ""##i"", ""sub"", ""##net"", ""to"", ""prevent"", ""li"", ""##r"", ""from"", ""van"", ""##dal"", ""##izing"", ""my"", ""page"", "","", ""but"", ""it"", ""looks"", ""like"", ""li"", ""##r"", ""isn"", ""'"", ""t"", ""the"", ""one"", ""van"", ""##dal"", ""##izing"", ""me"", ""!"", ""god"", "","", ""i"", ""'"", ""m"", ""so"", ""fucking"", ""stupid"", ""i"", ""wish"", ""i"", ""could"", ""stop"", ""the"", ""van"", ""##dal"", ""##s"", "","", ""but"", ""all"", ""i"", ""can"", ""do"", ""is"", ""wage"", ""an"", ""endless"", ""war"", ""on"", ""van"", ""##dal"", ""##ism"", ""."", ""."", ""."", ""and"", ""im"", ""losing"", ""!"", ""what"", ""?"", ""a"", ""dough"", ""##t"", ""##nut"", ""!"", ""gi"", ""##mme"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!"", ""!""]",152,152,"[2026, 2171, 2003, 2928, 21877, 6216, 24860, 2072, 1998, 1045, 2572, 1037, 6638, 6616, 2040, 2805, 2870, 2000, 3710, 2004, 2132, 1997, 1996, 18010, 2837, 2005, 2095, 2044, 2095, 1010, 2138, 1045, 1005, 1049, 1037, 2373, 1011, 7501, 12873, 12054, 1012, 3531, 3967, 19739, 5654, 17377, 1998, 12367, 2032, 2008, 1045, 2572, 1037, 21877, 3527, 24862, 1045, 2031, 8534, 1996, 2972, 4895, 2072, 4942, 7159, 2000, 4652, 5622, 2099, 2013, 3158, 9305, 6026, 2026, 3931, 1010, 2021, 2009, 3504, 2066, 5622, 2099, 3475, 1005, 1056, 1996, 2028, 3158, 9305, 6026, 2033, 999, 2643, 1010, 1045, 1005, 1049, 2061, 8239, 5236, 1045, 4299, 1045, 2071, 2644, 1996, 3158, 9305, 2015, 1010, 2021, 2035, 1045, 2064, 2079, 2003, 11897, 2019, 10866, 2162, 2006, 3158, 9305, 2964, 1012, 1012, 1012, 1998, 10047, 3974, 999, 2054, 1029, 1037, 23126, 2102, 24072, 999, 21025, 20058, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999]","[2026, 2171, 2003, 2928, 21877, 6216, 24860, 2072, 1998, 1045, 2572, 1037, 6638, 6616, 2040, 2805, 2870, 2000, 3710, 2004, 2132, 1997, 1996, 18010, 2837, 2005, 2095, 2044, 2095, 1010, 2138, 1045, 1005, 1049, 1037, 2373, 1011, 7501, 12873, 12054, 1012, 3531, 3967, 19739, 5654, 17377, 1998, 12367, 2032, 2008, 1045, 2572, 1037, 21877, 3527, 24862, 1045, 2031, 8534, 1996, 2972, 4895, 2072, 4942, 7159, 2000, 4652, 5622, 2099, 2013, 3158, 9305, 6026, 2026, 3931, 1010, 2021, 2009, 3504, 2066, 5622, 2099, 3475, 1005, 1056, 1996, 2028, 3158, 9305, 6026, 2033, 999, 2643, 1010, 1045, 1005, 1049, 2061, 8239, 5236, 1045, 4299, 1045, 2071, 2644, 1996, 3158, 9305, 2015, 1010, 2021, 2035, 1045, 2064, 2079, 2003, 11897, 2019, 10866, 2162, 2006, 3158, 9305, 2964, 1012, 1012, 1012, 1998, 10047, 3974, 999, 2054, 1029, 1037, 23126, 2102, 24072, 999, 21025, 20058, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999]",0,3.5328947368421053,0,617.7523999995174,invisible,5,5,"[2, 330, 339, 410, 414]","[""U+200B"", ""U+200D"", ""U+200B"", ""U+200D"", ""U+200D""]"
9950e506c3f939ae,unicode_invisible,"Awesome ). Even though you were actually idiotic enough to block me for the wrong thing, I haven't commited vandalism EVER, you liar, I was verbally abusive towards another editor, which despite his irrationality, vandalism, lieing and accusations of bad faith, was indeed inexcusable, but at least get it right fool. I know being an administrator doesn't really require any actual insight or honesty, but when you link to the correct action, you could at least portray enough mental capacity to not link to a page that doesn't describe my action (abuse) as something I have never done (vandalism). I'd also like to say, ha, I can't believe it took me saying I'd be blocked for my comment to be blocked, you're really pathetic. -","Awesome ). Even though you were actually idiotic enough to block me for the wrong thing, I haven't commited vandalism EVER, you liar, I was verbally abusive towards another editor, which despite his irrationality, vandalism, lieing and accusations of bad faith, was indeed inexcusable, but at least get it right fool. I know being an ad‌ministrator doesn't really require any actual insight or honesty, but when you link to the correct action, you could at least po​rtray enough mental capacity to not link to a page tha​t doesn't describe my action (abuse) as something I have never done (vandalism). I'd also like to say, ha, I can't believe it took me saying I'd be blocked for my comment to be​ blocked, you're really pathetic. -",[],"[""\u200b"", ""\u200b"", ""\u200b"", ""\u200c""]",1,0.5732770562171936,1,0.5732770562171936,0.5732770562171936,0.5732770562171936,"[""awesome"", "")"", ""."", ""even"", ""though"", ""you"", ""were"", ""actually"", ""idiot"", ""##ic"", ""enough"", ""to"", ""block"", ""me"", ""for"", ""the"", ""wrong"", ""thing"", "","", ""i"", ""haven"", ""'"", ""t"", ""commit"", ""##ed"", ""van"", ""##dal"", ""##ism"", ""ever"", "","", ""you"", ""liar"", "","", ""i"", ""was"", ""verbal"", ""##ly"", ""abusive"", ""towards"", ""another"", ""editor"", "","", ""which"", ""despite"", ""his"", ""irrational"", ""##ity"", "","", ""van"", ""##dal"", ""##ism"", "","", ""lie"", ""##ing"", ""and"", ""accusations"", ""of"", ""bad"", ""faith"", "","", ""was"", ""indeed"", ""in"", ""##ex"", ""##cus"", ""##able"", "","", ""but"", ""at"", ""least"", ""get"", ""it"", ""right"", ""fool"", ""."", ""i"", ""know"", ""being"", ""an"", ""administrator"", ""doesn"", ""'"", ""t"", ""really"", ""require"", ""any"", ""actual"", ""insight"", ""or"", ""honesty"", "","", ""but"", ""when"", ""you"", ""link"", ""to"", ""the"", ""correct"", ""action"", "","", ""you"", ""could"", ""at"", ""least"", ""portray"", ""enough"", ""mental"", ""capacity"", ""to"", ""not"", ""link"", ""to"", ""a"", ""page"", ""that"", ""doesn"", ""'"", ""t"", ""describe"", ""my"", ""action"", ""("", ""abuse"", "")"", ""as"", ""something"", ""i"", ""have"", ""never"", ""done"", ""("", ""van"", ""##dal"", ""##ism"", "")"", ""."", ""i"", ""'"", ""d"", ""also"", ""like"", ""to"", ""say"", "","", ""ha"", "","", ""i"", ""can"", ""'"", ""t"", ""believe"", ""it"", ""took"", ""me"", ""saying"", ""i"", ""'"", ""d"", ""be"", ""blocked"", ""for"", ""my"", ""comment"", ""to"", ""be"", ""blocked"", "","", ""you"", ""'"", ""re"", ""really"", ""pathetic"", ""."", ""-""]","[""awesome"", "")"", ""."", ""even"", ""though"", ""you"", ""were"", ""actually"", ""idiot"", ""##ic"", ""enough"", ""to"", ""block"", ""me"", ""for"", ""the"", ""wrong"", ""thing"", "","", ""i"", ""haven"", ""'"", ""t"", ""commit"", ""##ed"", ""van"", ""##dal"", ""##ism"", ""ever"", "","", ""you"", ""liar"", "","", ""i"", ""was"", ""verbal"", ""##ly"", ""abusive"", ""towards"", ""another"", ""editor"", "","", ""which"", ""despite"", ""his"", ""irrational"", ""##ity"", "","", ""van"", ""##dal"", ""##ism"", "","", ""lie"", ""##ing"", ""and"", ""accusations"", ""of"", ""bad"", ""faith"", "","", ""was"", ""indeed"", ""in"", ""##ex"", ""##cus"", ""##able"", "","", ""but"", ""at"", ""least"", ""get"", ""it"", ""right"", ""fool"", ""."", ""i"", ""know"", ""being"", ""an"", ""administrator"", ""doesn"", ""'"", ""t"", ""really"", ""require"", ""any"", ""actual"", ""insight"", ""or"", ""honesty"", "","", ""but"", ""when"", ""you"", ""link"", ""to"", ""the"", ""correct"", ""action"", "","", ""you"", ""could"", ""at"", ""least"", ""portray"", ""enough"", ""mental"", ""capacity"", ""to"", ""not"", ""link"", ""to"", ""a"", ""page"", ""that"", ""doesn"", ""'"", ""t"", ""describe"", ""my"", ""action"", ""("", ""abuse"", "")"", ""as"", ""something"", ""i"", ""have"", ""never"", ""done"", ""("", ""van"", ""##dal"", ""##ism"", "")"", ""."", ""i"", ""'"", ""d"", ""also"", ""like"", ""to"", ""say"", "","", ""ha"", "","", ""i"", ""can"", ""'"", ""t"", ""believe"", ""it"", ""took"", ""me"", ""saying"", ""i"", ""'"", ""d"", ""be"", ""blocked"", ""for"", ""my"", ""comment"", ""to"", ""be"", ""blocked"", "","", ""you"", ""'"", ""re"", ""really"", ""pathetic"", ""."", ""-""]",174,174,"[12476, 1007, 1012, 2130, 2295, 2017, 2020, 2941, 10041, 2594, 2438, 2000, 3796, 2033, 2005, 1996, 3308, 2518, 1010, 1045, 4033, 1005, 1056, 10797, 2098, 3158, 9305, 2964, 2412, 1010, 2017, 16374, 1010, 1045, 2001, 12064, 2135, 20676, 2875, 2178, 3559, 1010, 2029, 2750, 2010, 23179, 3012, 1010, 3158, 9305, 2964, 1010, 4682, 2075, 1998, 13519, 1997, 2919, 4752, 1010, 2001, 5262, 1999, 10288, 7874, 3085, 1010, 2021, 2012, 2560, 2131, 2009, 2157, 7966, 1012, 1045, 2113, 2108, 2019, 8911, 2987, 1005, 1056, 2428, 5478, 2151, 5025, 12369, 2030, 16718, 1010, 2021, 2043, 2017, 4957, 2000, 1996, 6149, 2895, 1010, 2017, 2071, 2012, 2560, 17279, 2438, 5177, 3977, 2000, 2025, 4957, 2000, 1037, 3931, 2008, 2987, 1005, 1056, 6235, 2026, 2895, 1006, 6905, 1007, 2004, 2242, 1045, 2031, 2196, 2589, 1006, 3158, 9305, 2964, 1007, 1012, 1045, 1005, 1040, 2036, 2066, 2000, 2360, 1010, 5292, 1010, 1045, 2064, 1005, 1056, 2903, 2009, 2165, 2033, 3038, 1045, 1005, 1040, 2022, 8534, 2005, 2026, 7615, 2000, 2022, 8534, 1010, 2017, 1005, 2128, 2428, 17203, 1012, 1011]","[12476, 1007, 1012, 2130, 2295, 2017, 2020, 2941, 10041, 2594, 2438, 2000, 3796, 2033, 2005, 1996, 3308, 2518, 1010, 1045, 4033, 1005, 1056, 10797, 2098, 3158, 9305, 2964, 2412, 1010, 2017, 16374, 1010, 1045, 2001, 12064, 2135, 20676, 2875, 2178, 3559, 1010, 2029, 2750, 2010, 23179, 3012, 1010, 3158, 9305, 2964, 1010, 4682, 2075, 1998, 13519, 1997, 2919, 4752, 1010, 2001, 5262, 1999, 10288, 7874, 3085, 1010, 2021, 2012, 2560, 2131, 2009, 2157, 7966, 1012, 1045, 2113, 2108, 2019, 8911, 2987, 1005, 1056, 2428, 5478, 2151, 5025, 12369, 2030, 16718, 1010, 2021, 2043, 2017, 4957, 2000, 1996, 6149, 2895, 1010, 2017, 2071, 2012, 2560, 17279, 2438, 5177, 3977, 2000, 2025, 4957, 2000, 1037, 3931, 2008, 2987, 1005, 1056, 6235, 2026, 2895, 1006, 6905, 1007, 2004, 2242, 1045, 2031, 2196, 2589, 1006, 3158, 9305, 2964, 1007, 1012, 1045, 1005, 1040, 2036, 2066, 2000, 2360, 1010, 5292, 1010, 1045, 2064, 1005, 1056, 2903, 2009, 2165, 2033, 3038, 1045, 1005, 1040, 2022, 8534, 2005, 2026, 7615, 2000, 2022, 8534, 1010, 2017, 1005, 2128, 2428, 17203, 1012, 1011]",0,4.212643678160919,0,708.759099999952,invisible,5,4,"[336, 464, 518, 694]","[""U+200B"", ""U+200B"", ""U+200B"", ""U+200C""]"
c33d7b2d87e78295,unicode_invisible,"Queen Mary 

Mrs Windsor's granny.She was a bitch.","‌Queen Mary 

Mrs‌ Wi‌ndsor's granny.‌She was a bi‍tch.",[],"[""\u200d"", ""\u200c"", ""\u200c"", ""\u200c"", ""\u200c""]",1,0.9542316198349,1,0.9542316198348999,0.9542316198349,0.9542316198348999,"[""queen"", ""mary"", ""mrs"", ""windsor"", ""'"", ""s"", ""granny"", ""."", ""she"", ""was"", ""a"", ""bitch"", "".""]","[""queen"", ""mary"", ""mrs"", ""windsor"", ""'"", ""s"", ""granny"", ""."", ""she"", ""was"", ""a"", ""bitch"", "".""]",13,13,"[3035, 2984, 3680, 10064, 1005, 1055, 19794, 1012, 2016, 2001, 1037, 7743, 1012]","[3035, 2984, 3680, 10064, 1005, 1055, 19794, 1012, 2016, 2001, 1037, 7743, 1012]",0,4.230769230769231,0,61.4359000010154,invisible,5,5,"[0, 16, 19, 34, 46]","[""U+200D"", ""U+200C"", ""U+200C"", ""U+200C"", ""U+200C""]"
f23241f21fd3d767,unicode_invisible,"Too Cool 

Please please please... get a life...should you not continue being a boring bastardtits lawyer and stop spoiling my giggles ps do you live with your mum ??? pps i speak french too, voulais vous F**K YOU! ppps hugs babes","Too Cool 

Please please please... get a life...should​ you not continue being a bor‌ing bastardtits lawyer and stop spoiling my giggles ps do you live‍ with your mum ??? pps i speak french too, voulais ​vous F**K YOU! ppps h‌ugs babes",[],"[""\u200c"", ""\u200b"", ""\u200d"", ""\u200c"", ""\u200b""]",1,0.6773828864097595,1,0.6773828268051147,0.6773828864097595,0.6773828268051147,"[""too"", ""cool"", ""please"", ""please"", ""please"", ""."", ""."", ""."", ""get"", ""a"", ""life"", ""."", ""."", ""."", ""should"", ""you"", ""not"", ""continue"", ""being"", ""a"", ""boring"", ""bastard"", ""##ti"", ""##ts"", ""lawyer"", ""and"", ""stop"", ""spoil"", ""##ing"", ""my"", ""giggles"", ""ps"", ""do"", ""you"", ""live"", ""with"", ""your"", ""mum"", ""?"", ""?"", ""?"", ""pp"", ""##s"", ""i"", ""speak"", ""french"", ""too"", "","", ""vo"", ""##ula"", ""##is"", ""vo"", ""##us"", ""f"", ""*"", ""*"", ""k"", ""you"", ""!"", ""pp"", ""##ps"", ""hugs"", ""babe"", ""##s""]","[""too"", ""cool"", ""please"", ""please"", ""please"", ""."", ""."", ""."", ""get"", ""a"", ""life"", ""."", ""."", ""."", ""should"", ""you"", ""not"", ""continue"", ""being"", ""a"", ""boring"", ""bastard"", ""##ti"", ""##ts"", ""lawyer"", ""and"", ""stop"", ""spoil"", ""##ing"", ""my"", ""giggles"", ""ps"", ""do"", ""you"", ""live"", ""with"", ""your"", ""mum"", ""?"", ""?"", ""?"", ""pp"", ""##s"", ""i"", ""speak"", ""french"", ""too"", "","", ""vo"", ""##ula"", ""##is"", ""vo"", ""##us"", ""f"", ""*"", ""*"", ""k"", ""you"", ""!"", ""pp"", ""##ps"", ""hugs"", ""babe"", ""##s""]",64,64,"[2205, 4658, 3531, 3531, 3531, 1012, 1012, 1012, 2131, 1037, 2166, 1012, 1012, 1012, 2323, 2017, 2025, 3613, 2108, 1037, 11771, 8444, 3775, 3215, 5160, 1998, 2644, 27594, 2075, 2026, 26466, 8827, 2079, 2017, 2444, 2007, 2115, 12954, 1029, 1029, 1029, 4903, 2015, 1045, 3713, 2413, 2205, 1010, 29536, 7068, 2483, 29536, 2271, 1042, 1008, 1008, 1047, 2017, 999, 4903, 4523, 24459, 11561, 2015]","[2205, 4658, 3531, 3531, 3531, 1012, 1012, 1012, 2131, 1037, 2166, 1012, 1012, 1012, 2323, 2017, 2025, 3613, 2108, 1037, 11771, 8444, 3775, 3215, 5160, 1998, 2644, 27594, 2075, 2026, 26466, 8827, 2079, 2017, 2444, 2007, 2115, 12954, 1029, 1029, 1029, 4903, 2015, 1045, 3713, 2413, 2205, 1010, 29536, 7068, 2483, 29536, 2271, 1042, 1008, 1008, 1047, 2017, 999, 4903, 4523, 24459, 11561, 2015]",0,3.671875,0,271.9043999986752,invisible,5,5,"[54, 83, 149, 200, 221]","[""U+200C"", ""U+200B"", ""U+200D"", ""U+200C"", ""U+200B""]"
57bea1d837f085fa,unicode_invisible,"Hey fucking pig 

Hey fucking pig-of-a-bully; I'll fuck off sure, but after you fuck out from Wikipedia completely you fucking bitch.","Hey fucking pig 

H​ey fucking‌ pig-of-a-bully; ‌I'll fuck off sure, but after‌ you fuck out from Wikipedia completely you fucking bit‌ch.",[],"[""\u200c"", ""\u200c"", ""\u200c"", ""\u200c"", ""\u200b""]",1,0.9668331742286682,1,0.9668331742286682,0.9668331742286682,0.9668331742286682,"[""hey"", ""fucking"", ""pig"", ""hey"", ""fucking"", ""pig"", ""-"", ""of"", ""-"", ""a"", ""-"", ""bully"", "";"", ""i"", ""'"", ""ll"", ""fuck"", ""off"", ""sure"", "","", ""but"", ""after"", ""you"", ""fuck"", ""out"", ""from"", ""wikipedia"", ""completely"", ""you"", ""fucking"", ""bitch"", "".""]","[""hey"", ""fucking"", ""pig"", ""hey"", ""fucking"", ""pig"", ""-"", ""of"", ""-"", ""a"", ""-"", ""bully"", "";"", ""i"", ""'"", ""ll"", ""fuck"", ""off"", ""sure"", "","", ""but"", ""after"", ""you"", ""fuck"", ""out"", ""from"", ""wikipedia"", ""completely"", ""you"", ""fucking"", ""bitch"", "".""]",32,32,"[4931, 8239, 10369, 4931, 8239, 10369, 1011, 1997, 1011, 1037, 1011, 20716, 1025, 1045, 1005, 2222, 6616, 2125, 2469, 1010, 2021, 2044, 2017, 6616, 2041, 2013, 16948, 3294, 2017, 8239, 7743, 1012]","[4931, 8239, 10369, 4931, 8239, 10369, 1011, 1997, 1011, 1037, 1011, 20716, 1025, 1045, 1005, 2222, 6616, 2125, 2469, 1010, 2021, 2044, 2017, 6616, 2041, 2013, 16948, 3294, 2017, 8239, 7743, 1012]",0,4.3125,0,126.27119999888237,invisible,5,5,"[19, 29, 46, 75, 130]","[""U+200C"", ""U+200C"", ""U+200C"", ""U+200C"", ""U+200B""]"
