attack,clean_probability_bin,n,successes,asr,asr_ci_low,asr_ci_high,mean_clean_toxic_prob,median_clean_toxic_prob,mean_attacked_toxic_prob
TokenBreak,"(0.5, 0.6]",10,10,1.0,0.7224672001371107,1.0,0.5653640270233155,0.568261444568634,0.06581103835487732
TokenBreak,"(0.6, 0.8]",18,17,0.9444444444444444,0.7424269921812741,0.990124809021697,0.6809589498572879,0.669515997171402,0.06053297685381642
TokenBreak,"(0.8, 1.0]",128,123,0.9609375,0.9118129792331631,0.9832013892021962,0.926307697314769,0.9406780898571014,0.06771893234463275
AdvTok,"(0.5, 0.6]",10,10,1.0,0.7224672001371107,1.0,0.5653640627861023,0.5682614147663116,0.06629198710434135
AdvTok,"(0.6, 0.8]",18,17,0.9444444444444444,0.7424269921812741,0.990124809021697,0.6809588803185357,0.66951584815979,0.06218053513051317
AdvTok,"(0.8, 1.0]",128,123,0.9609375,0.9118129792331631,0.9832013892021962,0.9263077275827527,0.9406784474849701,0.10942374167234446
Unicode invisible,"(0.5, 0.6]",10,0,0.0,0.0,0.2775327998628892,0.5653640270233155,0.568261444568634,0.5653641164302826
Unicode invisible,"(0.6, 0.8]",18,0,0.0,0.0,0.17587922364665765,0.6809589498572879,0.669515997171402,0.6809589366118113
Unicode invisible,"(0.8, 1.0]",128,0,0.0,0.0,0.029136956273508416,0.926307697314769,0.9406780898571014,0.9263077052310109
Unicode homoglyph,"(0.5, 0.6]",10,10,1.0,0.7224672001371107,1.0,0.5653640270233155,0.568261444568634,0.05678277823026286
Unicode homoglyph,"(0.6, 0.8]",18,16,0.8888888888888888,0.672002348698212,0.9689804773543876,0.6809589498572879,0.669515997171402,0.07975815081994769
Unicode homoglyph,"(0.8, 1.0]",128,108,0.84375,0.7709518905710295,0.8965164519909334,0.926307697314769,0.9406780898571014,0.1385396406867585
Unicode compatibility,"(0.5, 0.6]",10,10,1.0,0.7224672001371107,1.0,0.5653640270233155,0.568261444568634,0.06327950650593259
Unicode compatibility,"(0.6, 0.8]",18,17,0.9444444444444444,0.7424269921812741,0.990124809021697,0.6809589498572879,0.669515997171402,0.05621573799807159
Unicode compatibility,"(0.8, 1.0]",128,115,0.8984375,0.8339751366963888,0.9396813512731592,0.926307697314769,0.9406780898571014,0.1020445912981813
Unicode reorder,"(0.5, 0.6]",10,10,1.0,0.7224672001371107,1.0,0.5653640270233155,0.568261444568634,0.06082217937218952
Unicode reorder,"(0.6, 0.8]",18,16,0.8888888888888888,0.672002348698212,0.9689804773543876,0.6809589498572879,0.669515997171402,0.0756096750426675
Unicode reorder,"(0.8, 1.0]",128,112,0.875,0.8065737291824854,0.9215735536123834,0.926307697314769,0.9406780898571014,0.12062765350719926
