attack,defence,n_total,n_clean_retained,original_full_undefended_asr,paired_undefended_asr,paired_undefended_ci_low,paired_undefended_ci_high,paired_defended_asr,paired_defended_ci_low,paired_defended_ci_high,asr_reduction,asr_reduction_ci_low,asr_reduction_ci_high,asr_reduction_pp,asr_reduction_ci_low_pp,asr_reduction_ci_high_pp,clean_retention,clean_retention_ci_low,clean_retention_ci_high,attack_detection_rate,attack_detection_ci_low,attack_detection_ci_high,attack_block_rate,attack_block_ci_low,attack_block_ci_high,reencode_rate,reencode_ci_low,reencode_ci_high,median_attack_defence_latency_ms,mean_attack_defence_latency_ms
tokenbreak,tokenizer_translation,156,127,0.9615384615384616,0.952755905511811,0.9133858267716536,0.984251968503937,0.4645669291338583,0.3779527559055118,0.5511811023622047,0.4881889763779527,0.40157480314960625,0.5748031496062993,48.818897637795274,40.15748031496062,57.48031496062993,0.8141025641025641,0.75,0.8717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4354499978944659,0.8147743589851859
tokenbreak,canonical_reject,156,156,0.9615384615384616,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13269999908516178,0.21859551265944716
tokenbreak,canonical_replace,156,156,0.9615384615384616,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13025000043853652,0.20532499995449774
tokenbreak,unicode_sanitise,156,156,0.9615384615384616,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16944999879342498,0.28312179487189637
tokenbreak,nfkc_confusable,156,156,0.9615384615384616,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14109999756328756,0.22900641024301502
tokenbreak,cpt_global,156,149,0.9615384615384616,0.959731543624161,0.9261744966442953,0.9865771812080537,0.8456375838926175,0.785234899328859,0.8993288590604027,0.11409395973154357,0.06711409395973156,0.16778523489932884,11.409395973154357,6.711409395973156,16.778523489932883,0.9551282051282052,0.9230769230769231,0.9871794871794872,0.15384615384615385,0.09615384615384616,0.21153846153846154,0.15384615384615385,0.10256410256410256,0.21153846153846154,0.0,0.0,0.0,0.19774999964283774,0.3704320513115351
tokenbreak,cpt_window,156,151,0.9615384615384616,0.9668874172185431,0.9337748344370861,0.9933774834437086,0.9668874172185431,0.9337748344370861,0.9933774834437086,0.0,0.0,0.0,0.0,0.0,0.0,0.967948717948718,0.9358974358974359,0.9935897435897436,0.03205128205128205,0.00641025641025641,0.0641025641025641,0.03205128205128205,0.00641025641025641,0.0641025641025641,0.0,0.0,0.0,0.22539999918080866,0.38897307690487465
advtok,tokenizer_translation,156,138,0.9615384615384616,0.9565217391304348,0.9202898550724637,0.9855072463768116,0.0,0.0,0.0,0.9565217391304348,0.9202898550724637,0.9855072463768116,95.65217391304348,92.02898550724638,98.55072463768117,0.8846153846153846,0.8333333333333334,0.9358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2840999986801762,0.49246858981906627
advtok,canonical_reject,156,156,0.9615384615384616,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.0,0.0,0.0,0.9615384615384616,0.9294871794871795,0.9871794871794872,96.15384615384616,92.94871794871796,98.71794871794873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1147999992099357,0.1680532049692537
advtok,canonical_replace,156,156,0.9615384615384616,0.9615384615384616,0.9294871794871795,0.9871794871794872,0.0,0.0,0.0,0.9615384615384616,0.9294871794871795,0.9871794871794872,96.15384615384616,92.94871794871796,98.71794871794873,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10469999870110765,0.17102820518816886
