attack,defence,attack_n,benign_n,true_positive,false_negative,false_positive,true_negative,detection_rate_recall,benign_false_alarm_rate,precision,f1
tokenbreak,tokenizer_translation,156,250,0,156,0,250,0.0,0.0,,
tokenbreak,canonical_reject,156,250,0,156,0,250,0.0,0.0,,
tokenbreak,canonical_replace,156,250,0,156,0,250,0.0,0.0,,
tokenbreak,unicode_sanitise,156,250,0,156,1,249,0.0,0.004,0.0,
tokenbreak,nfkc_confusable,156,250,0,156,8,242,0.0,0.032,0.0,
tokenbreak,cpt_global,156,250,24,132,9,241,0.15384615384615385,0.036,0.7272727272727273,0.253968253968254
tokenbreak,cpt_window,156,250,5,151,4,246,0.03205128205128205,0.016,0.5555555555555556,0.06060606060606061
advtok,tokenizer_translation,156,250,0,156,0,250,0.0,0.0,,
advtok,canonical_reject,156,250,156,0,0,250,1.0,0.0,1.0,1.0
advtok,canonical_replace,156,250,156,0,0,250,1.0,0.0,1.0,1.0
advtok,unicode_sanitise,156,250,0,156,1,249,0.0,0.004,0.0,
advtok,nfkc_confusable,156,250,0,156,8,242,0.0,0.032,0.0,
advtok,cpt_global,156,250,149,7,9,241,0.9551282051282052,0.036,0.9430379746835443,0.9490445859872612
advtok,cpt_window,156,250,24,132,4,246,0.15384615384615385,0.016,0.8571428571428571,0.2608695652173913
unicode_compat,tokenizer_translation,156,250,0,156,0,250,0.0,0.0,,
unicode_compat,canonical_reject,156,250,0,156,0,250,0.0,0.0,,
unicode_compat,canonical_replace,156,250,0,156,0,250,0.0,0.0,,
unicode_compat,unicode_sanitise,156,250,0,156,1,249,0.0,0.004,0.0,
unicode_compat,nfkc_confusable,156,250,156,0,8,242,1.0,0.032,0.9512195121951219,0.975
unicode_compat,cpt_global,156,250,5,151,9,241,0.03205128205128205,0.036,0.35714285714285715,0.0588235294117647
unicode_compat,cpt_window,156,250,5,151,4,246,0.03205128205128205,0.016,0.5555555555555556,0.06060606060606061
unicode_homoglyph,tokenizer_translation,156,250,0,156,0,250,0.0,0.0,,
unicode_homoglyph,canonical_reject,156,250,0,156,0,250,0.0,0.0,,
unicode_homoglyph,canonical_replace,156,250,0,156,0,250,0.0,0.0,,
unicode_homoglyph,unicode_sanitise,156,250,0,156,1,249,0.0,0.004,0.0,
unicode_homoglyph,nfkc_confusable,156,250,156,0,8,242,1.0,0.032,0.9512195121951219,0.975
unicode_homoglyph,cpt_global,156,250,31,125,9,241,0.1987179487179487,0.036,0.775,0.3163265306122449
unicode_homoglyph,cpt_window,156,250,7,149,4,246,0.04487179487179487,0.016,0.6363636363636364,0.08383233532934133
unicode_invisible,tokenizer_translation,156,250,0,156,0,250,0.0,0.0,,
unicode_invisible,canonical_reject,156,250,0,156,0,250,0.0,0.0,,
unicode_invisible,canonical_replace,156,250,0,156,0,250,0.0,0.0,,
unicode_invisible,unicode_sanitise,156,250,156,0,1,249,1.0,0.004,0.9936305732484076,0.9968051118210862
unicode_invisible,nfkc_confusable,156,250,0,156,8,242,0.0,0.032,0.0,
unicode_invisible,cpt_global,156,250,2,154,9,241,0.01282051282051282,0.036,0.18181818181818182,0.02395209580838323
unicode_invisible,cpt_window,156,250,5,151,4,246,0.03205128205128205,0.016,0.5555555555555556,0.06060606060606061
unicode_reorder,tokenizer_translation,156,250,0,156,0,250,0.0,0.0,,
unicode_reorder,canonical_reject,156,250,0,156,0,250,0.0,0.0,,
unicode_reorder,canonical_replace,156,250,0,156,0,250,0.0,0.0,,
unicode_reorder,unicode_sanitise,156,250,156,0,1,249,1.0,0.004,0.9936305732484076,0.9968051118210862
unicode_reorder,nfkc_confusable,156,250,0,156,8,242,0.0,0.032,0.0,
unicode_reorder,cpt_global,156,250,0,156,9,241,0.0,0.036,0.0,
unicode_reorder,cpt_window,156,250,5,151,4,246,0.03205128205128205,0.016,0.5555555555555556,0.06060606060606061
