category,defence,n,trigger_rate,trigger_ci_low,trigger_ci_high,action_rate,action_ci_low,action_ci_high,block_rate,block_ci_low,block_ci_high,representation_change_rate,representation_change_ci_low,representation_change_ci_high,operational_preservation,operational_preservation_ci_low,operational_preservation_ci_high,model_label_flip_rate_when_scored,mean_abs_probability_shift,median_abs_probability_shift,mean_token_count_ratio,median_token_count_ratio,mean_token_count_delta,baseline_toxic_rate,median_latency_ms,mean_latency_ms
code,tokenizer_translation,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.492587293498218e-05,2.5432644179090858e-05,1.11029881939945,1.104248275383922,22.98,0.0,1.4436000019486528,1.682076000215602
code,canonical_reject,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.43120000191265717,0.4670060003991239
code,canonical_replace,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.39135000042733736,0.4595889998745406
code,unicode_sanitise,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.574999998207204,0.6269930000416934
code,nfkc_confusable,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.438300001405878,0.4784360002668109
code,cpt_global,100,0.18,0.11,0.26,0.18,0.11,0.26,0.18,0.11,0.26,0.0,0.0,0.0,0.82,0.74,0.89,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6921999956830405,0.7736180002393667
code,cpt_window,100,0.49,0.39,0.59,0.49,0.39,0.58,0.49,0.39,0.59,0.0,0.0,0.0,0.51,0.41,0.61,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7252999967022333,0.8639869999024086
url,tokenizer_translation,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00023386475164443254,0.00020471590687520802,1.0858894865247632,1.0735294117647058,5.93,0.0,0.5293000031088013,0.6244279997918056
url,canonical_reject,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2031500007433351,0.24684200041519944
url,canonical_replace,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.19165000048815273,0.24100899987388402
url,unicode_sanitise,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.23204999888548627,0.2798500002245419
url,nfkc_confusable,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20234999828971922,0.2537859998847125
url,cpt_global,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31585000033373944,0.374641000162228
url,cpt_window,100,0.07,0.02,0.12,0.07,0.02,0.12,0.07,0.02,0.13,0.0,0.0,0.0,0.93,0.88,0.98,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3348499994899612,0.4200889998173807
emoji,tokenizer_translation,100,0.0,0.0,0.0,0.76,0.67,0.84,0.0,0.0,0.0,0.76,0.67,0.84,0.97,0.93,1.0,0.03,0.026814131109858863,0.0004043912049382925,1.1488569111073992,1.0952380952380953,2.0,0.03,0.32145000295713544,0.377551000128733
emoji,canonical_reject,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.2028107196092605e-08,9.313225746154785e-10,1.0,1.0,0.0,0.03,0.1083999995898921,0.12338399996224325
emoji,canonical_replace,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.2016465663909913e-08,9.313225746154785e-10,1.0,1.0,0.0,0.03,0.09579999823472463,0.11281099985353649
emoji,unicode_sanitise,100,0.08,0.03,0.14,0.08,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.2244639694690706e-08,9.313225746154785e-10,1.0,1.0,0.0,0.03,0.1130499986174982,0.13903000013669953
emoji,nfkc_confusable,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.2230669856071473e-08,8.149072527885437e-10,1.0,1.0,0.0,0.03,0.09594999573891982,0.11138399982883129
emoji,cpt_global,100,0.12,0.06,0.19,0.12,0.06,0.19,0.12,0.06,0.19,0.0,0.0,0.0,0.88,0.82,0.94,0.0,2.216547727584839e-08,6.984919309616089e-10,1.0,1.0,0.0,0.03,0.12540000170702115,0.14226700077415444
emoji,cpt_window,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.9189901649951935e-08,6.984919309616089e-10,1.0,1.0,0.0,0.03,0.1341499992122408,0.14090300021052826
misspelling,tokenizer_translation,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.99,0.97,1.0,0.01,0.012897113284561784,0.00015718737267889082,1.077646154052124,1.0615384615384615,5.6,0.02,0.5942999996477738,1.0471250001864973
misspelling,canonical_reject,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0477378964424133e-11,0.0,1.0,1.0,0.0,0.02,0.20289999883971177,0.2881040001375368
misspelling,canonical_replace,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0477378964424133e-11,0.0,1.0,1.0,0.0,0.02,0.18090000230586156,0.28102900032536127
misspelling,unicode_sanitise,100,0.01,0.0,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0477378964424133e-11,0.0,1.0,1.0,0.0,0.02,0.2301499989698641,0.4208229996584123
misspelling,nfkc_confusable,100,0.03,0.0,0.07,0.03,0.0,0.07,0.0,0.0,0.0,0.01,0.0,0.03,1.0,1.0,1.0,0.0,3.41788399964571e-07,0.0,0.999959349593496,1.0,-0.01,0.02,0.20355000378913246,0.3428660003555706
misspelling,cpt_global,100,0.05,0.01,0.1,0.05,0.01,0.09024999999999636,0.05,0.01,0.1,0.0,0.0,0.0,0.95,0.9,0.99,0.0,1.0477378964424133e-11,0.0,1.0,1.0,0.0,0.02,0.2526500029489398,0.4637249999359483
misspelling,cpt_window,100,0.01,0.0,0.03,0.01,0.0,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.99,0.97,1.0,0.0,1.0477378964424133e-11,0.0,1.0,1.0,0.0,0.02,0.28374999965308234,0.5004099998768652
non_english,tokenizer_translation,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.96,0.92,0.99,0.04,0.052744819115614516,0.015611422481015325,0.9121767971074523,1.0,-7.88,0.05,0.8630500014987774,0.9093539995956235
non_english,canonical_reject,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.026798367500305e-11,0.0,1.0,1.0,0.0,0.05,0.21120000383234583,0.26448899960087147
non_english,canonical_replace,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.026798367500305e-11,0.0,1.0,1.0,0.0,0.05,0.19894999786629342,0.2569150000636
non_english,unicode_sanitise,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.773028194904327e-11,0.0,1.0,1.0,0.0,0.05,0.23360000341199338,0.2839840001252014
non_english,nfkc_confusable,100,0.52,0.42,0.62,0.52,0.42,0.62,0.0,0.0,0.0,0.39,0.29975000000000007,0.49,1.0,1.0,1.0,0.0,0.0012657009600661696,0.0,0.9933350610131978,1.0,-0.77,0.05,0.20670000230893493,0.2537720004329458
non_english,cpt_global,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.773028194904327e-11,0.0,1.0,1.0,0.0,0.05,0.2985499995702412,0.35361699978238903
non_english,cpt_window,100,0.8,0.72,0.88,0.8,0.72,0.87,0.8,0.72,0.88,0.0,0.0,0.0,0.2,0.12,0.28,0.0,4.773028194904327e-11,0.0,1.0,1.0,0.0,0.05,0.36564999754773453,0.4358570001204498
mixed_script,tokenizer_translation,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.011268582869088278,0.0030737557099200785,0.9391242096789816,1.0,-5.69,0.0,0.8344999987457413,0.9014619992376538
mixed_script,canonical_reject,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.190951585769653e-11,0.0,1.0,1.0,0.0,0.0,0.23409999630530365,0.28152600025350694
